Tag No,Tag Description,Tag Type,PSM Critical,Unit,Service,Line no ,Manufacturer,Model,P&ID,Pressure maximum(kg/cm2g) ,Temperature maximum (C) ,ABCInd
HS-P318-AM,EMERG. OIL PUMP P-318,LOCAL PANEL,,,EMERG. OIL PUMP P-318,,,,,,,
HS-P468B-AM,STAND-BY LO PUMP AUTO/MAN SELECTION,LOCAL PANEL,,,STAND-BY LO PUMP AUTO/MAN SELECTION,,,,,,,
HS-P478-SP,EMERG. OIL PUMP STOP,LOCAL PANEL,,,EMERG. OIL PUMP STOP,,,,,,,
HS-PA7623-BS,FUEL GAS TO H-760 BURNER PRESS.,OTHER IMAGE TAG,,,FUEL GAS TO H-760 BURNER PRESS.,,,,,,,
HS-PDAL385-03-MOS,HP COMP. PRIMARY SEAL GAS SUPPLY DP (NDE),OTHER IMAGE TAG,,,HP COMP. PRIMARY SEAL GAS SUPPLY DP (NDE),,,,,,,
HS-PM678-ST,EMERG. OIL PUMP START,LOCAL PANEL,,,EMERG. OIL PUMP START,,,,,,,
HS-PSA-SD,PSA SHUTDOWN SWITCH IN CCR,LOCAL PANEL,,,PSA SHUTDOWN SWITCH IN CCR,,,,,,,
HS-PT305A-SP,PT-305A STOP IN FIELD,LOCAL PANEL,,,PT-305A STOP IN FIELD,,,,,,,
HS-R620-SD2,IMAGE TAG FOR LOOP,LOCAL PANEL,,,IMAGE TAG FOR LOOP,,,,,,,
HS-R720-SD2,"LOGIC Z-7201, R-720A  SHUTDOWN IN CCR",LOCAL PANEL,,,"LOGIC Z-7201, R-720A  SHUTDOWN IN CCR",,,,,,,
HS-R730-SD2,"LOGIC Z-7301, R-730  SHUTDOWN IN CCR",LOCAL PANEL,,,"LOGIC Z-7301, R-730  SHUTDOWN IN CCR",,,,,,,
HS-R760A-SDA2,"LOGIC Z-7603/7604,R-760A  S/D IN CCR",LOCAL PANEL,,,"LOGIC Z-7603/7604,R-760A  S/D IN CCR",,,,,,,
HS-R830SD1-C2,R-830 SHUTDOWN,LOCAL PANEL,,,R-830 SHUTDOWN,,,,,,,
HS-XZO1012A-MOS,MOS FOR XV-1012A OPEN LIMIT SWITCH,OTHER IMAGE TAG,,,MOS FOR XV-1012A OPEN LIMIT SWITCH,,,,,,,
HS-XZO1212C-MOS,MOS FOR XV-1212C OPEN LIMIT SWITCH,OTHER IMAGE TAG,,,MOS FOR XV-1212C OPEN LIMIT SWITCH,,,,,,,
HV-205C-OP,HV-205C OPEN COMMAND,MOV,,,HV-205C OPEN COMMAND,,,,,,,
HV-313AA-CL,CLOSE OF HV-313A,MOV,,,CLOSE OF HV-313A,,,,,,,
HV-314CA-OP,FROM/TO M380C,MOV,,,FROM/TO M380C,,,,,,,
HV-511-CL,HV-511 CLOSE COMMAND,MOV,Y,,HV-511 CLOSE COMMAND,"60""HV 2008-A13A",,,,,,B
HV-512-CL,HV-512 CLOSE COMMAND,MOV,Y,,HV-512 CLOSE COMMAND,"60""HV 2008-A13A",,,,,,B
HV-512-PER,HV-511 OPEN/CLOSE PERMISSIVE SIG.,MOV,Y,,HV-511 OPEN/CLOSE PERMISSIVE SIG.,,,,,,,B
HV-513,C-560 3RD SUCTION MOV,MOV,Y,,C-560 3RD SUCTION MOV,"60""HV 2008-A13A",,,,,,B
HV-531-OP,E-520A/V TO T-520,MOV,,,E-520A/V TO T-520,,,,,,,
HV-601X,D-601 BOTTOM TO P-600A/B,BALL ON-OFF VALVE,,,D-601 BOTTOM TO P-600A/B,"12""HL 2017-A13A-H",KTM,EB12-62.5E,,9,65,
HV-609-CL,HV-609 CLOSE COMMAND,MOV,Y,,HV-609 CLOSE COMMAND,"60""HV 2008-A13A",,,,,,B
HV-610-OP,HV-610 OPEN COMMAND,MOV,Y,,HV-610 OPEN COMMAND,"60""HV 2008-A13A",,,,,,B
HV-611-CL,HV-611 CLOSE COMMAND,MOV,Y,,HV-611 CLOSE COMMAND,"60""HV 2008-A13A",,,,,,B
HVX-301-OP,HV-301 OPEN COMMAND,OTHER ANALYZER,,,HV-301 OPEN COMMAND,,,,,,,
HVX-512-OP,HV-512 OPEN COMMAND,OTHER ANALYZER,,,HV-512 OPEN COMMAND,,,,,,,
HVX-513-PER,HV-513 OPEN/CLOSE PERMISSIVE SIG.,OTHER ANALYZER,,,HV-513 OPEN/CLOSE PERMISSIVE SIG.,,,,,,,
HVX-609-PER,HV-609 OPEN/CLOSE PERMISSIVE SIG.,OTHER ANALYZER,,,HV-609 OPEN/CLOSE PERMISSIVE SIG.,,,,,,,
HY-404,C-460 DISCHARGE,DESUPERHEAT,Y,,C-460 DISCHARGE,,,,,,,C
HSL-FIC627-AM,ASC FIC627 AUTO. MODE,OTHER IMAGE TAG,,,ASC FIC627 AUTO. MODE,,,,,,,
HS-LI1311B-MOS,MOS FOR LI-1311B,OTHER IMAGE TAG,,,MOS FOR LI-1311B,,,,,,,
HS-LI1531-MOS,MOS FOR LI-1531,OTHER IMAGE TAG,,,MOS FOR LI-1531,,,,,,,
HS-LI1552-MOS,MOS FOR LI-1552,OTHER IMAGE TAG,,,MOS FOR LI-1552,,,,,,,
HS-LI1612B-MOS,MOS FOR LI-1612B,OTHER IMAGE TAG,,,MOS FOR LI-1612B,,,,,,,
HS-P1010C-AM,NAPHTHA FEED PUMP P-1010C MCC SIGNAL (AUTO/MANUAL),OTHER IMAGE TAG,,,NAPHTHA FEED PUMP P-1010C MCC SIGNAL (AUTO/MANUAL),,,,,,,
HS-P1210A-AM,HP C2 EXPORT PUMP P-1210A MCC SIGNAL (AUTO/MANUAL),OTHER IMAGE TAG,,,HP C2 EXPORT PUMP P-1210A MCC SIGNAL (AUTO/MANUAL),,,,,,,
HS-P1210A-SP,HP ETHYLENE EXP. PUMP P-1210A SOFT STOP COMMAND,OTHER IMAGE TAG,,,HP ETHYLENE EXP. PUMP P-1210A SOFT STOP COMMAND,,,,,,,
HS-P1310A-AM,PROPYLENE EXP.PUMP P-1310A MCC SIGNAL (AUTO/MANUAL),OTHER IMAGE TAG,,,PROPYLENE EXP.PUMP P-1310A MCC SIGNAL (AUTO/MANUAL),,,,,,,
HS-P1310C-SP,PROPYLENE EXP. PUMP P-1310C SOFT STOP COMMAND,OTHER IMAGE TAG,,,PROPYLENE EXP. PUMP P-1310C SOFT STOP COMMAND,,,,,,,
HS-P1316-TKB,OFF-SPEC PROPYLENE RECY.PUMP P-1316 FEED TO TK-1310B,OTHER IMAGE TAG,,,OFF-SPEC PROPYLENE RECY.PUMP P-1316 FEED TO TK-1310B,,,,,,,
HS-P1410-SP,RAW C4'S FEED PUMP P-1410 SOFT STOP COMMAND,OTHER IMAGE TAG,,,RAW C4'S FEED PUMP P-1410 SOFT STOP COMMAND,,,,,,,
HS-P1561A-AM,MIXED XYLENE PUMP P-1561A MCC SIGNAL (AUTO/MANUAL),OTHER IMAGE TAG,,,MIXED XYLENE PUMP P-1561A MCC SIGNAL (AUTO/MANUAL),,,,,,,
HS-P3031B-SP,SUMP PUMP P-3031B SOFT STOP COMMAND,OTHER IMAGE TAG,,,SUMP PUMP P-3031B SOFT STOP COMMAND,,,,,,,
HS-P3033B-AM,SUMP PUMP P-3033B MCC SIGNAL (AUTO/MANUAL),OTHER IMAGE TAG,,,SUMP PUMP P-3033B MCC SIGNAL (AUTO/MANUAL),,,,,,,
HS-P3072A-AM,,LOCAL PANEL,,,,,,,,,,
HS-P3341A-AM,,LOCAL PANEL,,,,,,,,,,
HS-P478-ST,EMERG. OIL PUMP START,LOCAL PANEL,,,EMERG. OIL PUMP START,,,,,,,
HS-PAL583-04-MOS,BYPASS FOR PAL-583-04,OTHER IMAGE TAG,,,BYPASS FOR PAL-583-04,,,,,,,
HS-P1420-SP,ISO-BUTYLENE FEED PUMP P-1420 SOFT STOP COMMAND,OTHER IMAGE TAG,,,ISO-BUTYLENE FEED PUMP P-1420 SOFT STOP COMMAND,,,,,,,
HS-P1520-AM,EXTRACTION FEED PUMP P-1520 MCC SIGNAL (AUTO/MANUAL),OTHER IMAGE TAG,,,EXTRACTION FEED PUMP P-1520 MCC SIGNAL (AUTO/MANUAL),,,,,,,
HS-P1540A-AM,BENZENE EXPORT PUMP P-1540A MCC SIGNAL (AUTO/MANUAL),OTHER IMAGE TAG,,,BENZENE EXPORT PUMP P-1540A MCC SIGNAL (AUTO/MANUAL),,,,,,,
HS-P2021CP1B-AM,,LOCAL PANEL,,,,,,,,,,
HS-P206B-SP,P-206B START IN DCS/ STOP COMMAND,MOTOR SIGNAL,,,P-206B START IN DCS/ STOP COMMAND,,,,,,,
HS-P2161B-AM,,OTHER IMAGE TAG,,,,,,,,,,
HS-P226A-SP,PT-226A LOCAL PUSH BUTTON,OTHER IMAGE TAG,,,PT-226A LOCAL PUSH BUTTON,,,,,,,
