Tag No,Tag Description,Tag Type,PSM Critical,Unit,Service,Line no ,Manufacturer,Model,P&ID,Pressure maximum(kg/cm2g) ,Temperature maximum (C) ,ABCInd
PT-2023,Boiler Feedwater Pressure,PRESSURE TRANSMITTER,Y,,Boiler Feedwater Pressure,"12""-BFW20209-10-F11T-H",Yokogawa,EJA440A-ECS4B-97DB/KU2/D4/A/M11/X1/C3,,190,200,A
AT-2006,,MAIN ANALYZER,Y,,Medium Steam Condensate,"14"" MC2 20002-10-B12A-H",,,,,,B
PT-2022,BFW Heater O/L Quench Oil Pressure,PRESSURE TRANSMITTER,Y,,BFW Heater O/L Quench Oil Pressure,"24""-QO20009-10-B13A-ST",Yokogawa,EJX438A-EASCG-917DB-WA22C1SWBO-BA23/KU21/D4/A/M5W/X2/C3,,23.5,205,B
HZC-2006B,,CONTROL VALVE POSITION,,,,,AEE,,,,,
PT-2006A,0,PRESSURE TRANSMITTER,,,,,,,,,,
PSV-2004B,,PRESSURE SAFETY VALVE,Y,,,,Anderson Greenwood C,4 L 6 JLT-JBS-E-66-C,,95,200,C
TG-2013,Deaerator Inlet Temperature,TEMPERATURE GAUGE,N,,Deaerator Inlet Temperature,"10""-PSC20001-15-A-14K-H",WIKA,S5550,,14,148,C
LV-2002,,BALL CONTROL VALVE,Y,,,,,,,12,180,B
FI-2104D,Air,ROTAMETER,Y,,Air,"1""-PA21005-A13X",Tokyo Keiso,R-101-E,,7,,
PSV-2101B,Sludge,PRESSURE SAFETY VALVE,Y,,Sludge,"3""SL21004-A11A",Leser,4412.4824,,5,65,
PSV-2103A,P-2162A/B/C,PRESSURE SAFETY VALVE,Y,,P-2162A/B/C,"1/2""SV21003-CPVC",,,,,,
LG-2103,ALUM  Storage Tank,LEVEL GAUGE,N,,ALUM  Storage Tank,,Orion (Magnetrol),XAA3-1CH2-2A0/152.5,,3.3,65,C
LT-2106,ALUM Storage Tank,HYDROSTATIC HEAD,Y,,ALUM Storage Tank,,Yokogawa,EJA118W-EMTA1FB-AA05-97DB/KU2/D4/A/M05/X1,,0.43,65,
FI-2105,Water,ROTAMETER,,,Water,"3""TW21018-A11A",Tokyo Keiso,R-101-E,,10,65,
HEV-2108,,CONTROL VALVE POSITION,,,,,,,,,,
HZO-2108,,OTHER INSTRUMENT,,,,,,,,,,
HV-2224B,Water,BALL ON-OFF VALVE,Y,,Water,"6""-WW-22008-A12A",CRANE,RS Series,,6,65,
HV-2226B,Water,BALL ON-OFF VALVE,Y,,Water,"1-1/2""-PA-22005-A13X",SAUNDERS,IDV / TypeA,,6,65,
PG-2210B,MB Exchanger B outlet line,PRESSURE GAUGE,N,,MB Exchanger B outlet line,"6""PW 22041-CSRL",ASHCROFT,100-T5500-SL-04L-0/6 Kg/cm2-XGR-NH-SG,,4,37,C
LT-2201B,Degasifier Tank  B,HYDROSTATIC HEAD,Y,,Degasifier Tank  B,,Yokogawa,EJA118W-EMSA1FB-AA03-97DB/KU2/D4/A/M05/X1/Z,,37,65,
HV-2214B,Water,BALL ON-OFF VALVE,Y,,Water,"6""-WW-22007-A12A",CRANE,RS Series,,6,65,
HV-2220B,Water,BALL ON-OFF VALVE,Y,,Water,"3""-WW-22002-A12A",CRANE,RS Series,,6,65,
PG-2201B,A/C Filter A outlet line,PRESSURE GAUGE,N,,A/C Filter A outlet line,"6""TW 22010- A13X",ASHCROFT,100-T5500-SL-04L-0/10 Kg/cm2-XGR-NH-SG,,6,37,C
HZO-2002B,,OTHER INSTRUMENT,,,,,AEE,,,,,
TT-2011A,,TEMPERATURE TRANSMITTER,Y,,,,AEE,,,,,A
PT-2003A,MP1 Steam to Vent Pressure,PRESSURE TRANSMITTER,Y,,MP1 Steam to Vent Pressure,"8""-MS120560-20-B12T-H",Yokogawa,EJA430A-EAS4B-97DB/KU2/D4/A/M11/X1/C3,,21,350,A
PSV-2003C,MP2 Steam,PRESSURE SAFETY VALVE,Y,,MP2 Steam,,Anderson Greenwood C,4 M 6 JOS-E-35-C,,21,350,C
PV-2002,,GLOBE CONTROL VALVE,Y,,,,,,,,,A
PSV-2025A,IP Boiler Feed water,PRESSURE SAFETY VALVE,Y,,IP Boiler Feed water,,Anderson Greenwood C,3 K 4 JLT-JBS-E-45-C,,46.2,200,C
XEV-2080,,CONTROL VALVE POSITION,,,,,,,,,,
HV-2101B,Water,BALL ON-OFF VALVE,Y,,Water,"6""-PS-21002-HDPE",CRANE,RS Series,,3.5,65,
PG-2101,Raw water inlet to clarifier A/B,PRESSURE GAUGE,N,,Raw water inlet to clarifier A/B,"28""RW 21009-A11A",ASHCROFT,100-T5500-SL-04L-0/2.5 Kg/cm2-XGV-NH-SG,,4,37,C
AT-2101,Incoming raw Water Inlet,MAIN ANALYZER,Y,,Incoming raw Water Inlet,"28""RW 21009-A11A",,,,,,B
FT-2102,Discharge Filter water Line,DIFF. PRESSURE,Y,,Discharge Filter water Line,"24""-TW-21008-A11A",Endress+Houser,50W4F-HL0A4BA0BDAA+DK5GD-4FAHL,,,,
FI-2104E,Air,ROTAMETER,Y,,Air,"1""-PA21006-A13X",Tokyo Keiso,R-101-E,,7,,
PCV-2104,Plant air,PCV,Y,,Plant air,"2""PA21011-A13X",Norgren,B68E-BAKUA##1RLG,,11,65,
FT-2103,Feed Cooling Water Line,DIFF. PRESSURE,Y,,Feed Cooling Water Line,"16""-TW-24003-A11A",Yokogawa,AXF400C-E2AL1S-CA11-21B/KF2/SCT/A/X1/M01/T01/Z,,,,
PT-2101D,Dynasand No.4,PRESSURE TRANSMITTER,Y,,Dynasand No.4,"16""RW21012-A11A",Yokogawa,EJA110A-EMS4B-97DB/KU2/D4/A/M11/X1,,0.1,,
LT-2102,Level measurement,HYDROSTATIC HEAD,Y,,Level measurement,,Yokogawa,EJA110A-EMS4B-97DB/KU2/D4/A/M11/X1,,37,65,
LG-2102,NaOCI Storage Tank,LEVEL GAUGE,N,,NaOCI Storage Tank,,Orion (Magnetrol),XAA3-1CH2-2A0/187.5,,,,C
HV-2225B,Water,BALL ON-OFF VALVE,Y,,Water,"6""-DW-22042-A14K",CRANE,RS Series,,6,65,
HV-2201B,Water,BALL ON-OFF VALVE,Y,,Water,"6""-TW-22026-A13X",CRANE,RS Series,,8,65,
HV-2207B,Water,BALL ON-OFF VALVE,Y,,Water,"6""-WW-22006-A12A",CRANE,RS Series,,8,65,
HV-2219A,Water,BALL ON-OFF VALVE,Y,,Water,"6""-PW-22023-CSRL",CRANE,RS Series,,6,65,
HV-2218A,Water,BALL ON-OFF VALVE,Y,,Water,"1/2""-PW-22004-A14K",SAUNDERS,IDV / TypeA,,7,65,
HV-2201C,Water,BALL ON-OFF VALVE,Y,,Water,"6""-TW-22043-A13X",CRANE,RS Series,,8,65,
PG-2213B,Degas water pump F discharge line,PRESSURE GAUGE,N,,Degas water pump F discharge line,"6""PW 22054-CSRL",ASHCROFT,100-Y5500-SL-04L-0/10 Kg/cm2-XGR-NH-SG,,6,37,C
PG-2211B,A/C Filter C outlet line,PRESSURE GAUGE,N,,A/C Filter C outlet line,"6""TW 22044-A13X",ASHCROFT,100-T5500-SL-04L-0/10 Kg/cm2-XGR-NH-SG,,6,37,C
HV-2213C,Water,BALL ON-OFF VALVE,Y,,Water,"6""-PW-22056-CSRL",CRANE,RS Series,,6,65,
HV-2212C,Water,BALL ON-OFF VALVE,Y,,Water,"6""-WW-22011-A12A",CRANE,RS Series,,6,65,
AT-2008,,MAIN ANALYZER,Y,,Low Steam Condensate,"6"" SSC20016-19-A12A-P",,,,,,B
LZC-2002,,CONTROL VALVE POSITION,,,,,AEE,,,,,
HV-2003B,,BALL ON-OFF VALVE,Y,,,,,,,46.2,420,A
PSV-2007A,,PRESSURE SAFETY VALVE,Y,,,,Anderson Greenwood C,6 R 10 JOS-H-45-C,,21,350,C
PG-2027B,MP BFP Turbine B Suction Pressure,PRESSURE GAUGE,N,,MP BFP Turbine B Suction Pressure,"4""-HS20565-25-D11T-H",WIKA,Type 232.30,,46.2,420,C
PSV-2014A,Cooling Water,PRESSURE SAFETY VALVE,Y,,Cooling Water,,Anderson Greenwood C,9611011D,,8,250,C
TG-2007A,MP BFP Turbine A Inlet Temperature,TEMPERATURE GAUGE,N,,MP BFP Turbine A Inlet Temperature,"4""-HS20565-22-D11T-H",WIKA,S5550,,46.2,420,C
HEV-2002B,,CONTROL VALVE POSITION,,,,,AEE,,,,,
FT-2008,MP1 Steam Let down Station Flow,DIFF. PRESSURE,Y,,MP1 Steam Let down Station Flow,"18""-LS120573-20-A14T-H",Yokogawa,EJA110A-EMS4B-97DB/KU2/D4/A/M11/X1/C3,,7,300,A
PT-2001B,HP Steam to Vent Pressure,PRESSURE TRANSMITTER,Y,,HP Steam to Vent Pressure,"10""-HS20559-20-D11T-H",Yokogawa,EJA430A-EBS4B-97DB/KU2/D4/A/M11/X1/C3,,46.2,420,A
PSV-2002C,LP1 Steam,PRESSURE SAFETY VALVE,Y,,LP1 Steam,,Anderson Greenwood C,6 R 10 JOS-H-E-35-C,,7,300,C
PSV-2003B,,PRESSURE SAFETY VALVE,Y,,,,Anderson Greenwood C,4 M 6 JOS-E-35-C,,21,350,C
PG-2036B,Oxygen Scabenger Pump B Discharge Pressure,PRESSURE GAUGE,N,,Oxygen Scabenger Pump B Discharge Pressure,"3/4""-OSC20214-10-A14K",WIKA,Type 232.30,,10,65,C
PDT-2203A,Rasin Tap No.1 from Anion Exchanger Tank No.1,PRESSURE DIFFERENTIAL TRANSMITTER,Y,,Rasin Tap No.1 from Anion Exchanger Tank No.1,"6""-PW-22025-CSRL",Yokogawa,EJA110A-EMS4B-97DB/KU2/D4/A/M11/X1,,6,65,
HV-2211A,Water,BALL ON-OFF VALVE,Y,,Water,"6""-PW-22020-CSRL",CRANE,RS Series,,6,65,
HV-2224A,Water,BALL ON-OFF VALVE,Y,,Water,"6""-WW-22004-A12A",CRANE,RS Series,,6,65,
HV-2228A,Water,BALL ON-OFF VALVE,Y,,Water,"1/2""-PW-22008-A14K",SAUNDERS,IDV / TypeA,,7,65,
PG-2202A,Cation Exchanger A inlet line,PRESSURE GAUGE,N,,Cation Exchanger A inlet line,"6""TW 22012-CSRL",ASHCROFT,100-T5500-SL-04L-0/4 Kg/cm2-XGR-NH-SG,,6,37,C
PG-2212B,Cation Exchanger C outlet line,PRESSURE GAUGE,N,,Cation Exchanger C outlet line,"6""-PW-22048-CSRL",ASHCROFT,100-T5500-SL-04L-0/6 Kg/cm2-XGR-NH-SG,,6,37,C
PG-2214B,Anion Exchanger C outlet line,PRESSURE GAUGE,N,,Anion Exchanger C outlet line,"6""-PW-22056-CSRL",ASHCROFT,100-Y5500-SL-04L-0/10 Kg/cm2-XGR-NH-SG,,6,37,C
HV-2228C,Water,BALL ON-OFF VALVE,Y,,Water,"1/2""-PW-22009-A14K",SAUNDERS,IDV / TypeA,,7,65,
HV-2223C,Water,BALL ON-OFF VALVE,Y,,Water,"3""-PW-22059-CSRL",CRANE,RS Series,,6,65,
HV-2222C,Water,BALL ON-OFF VALVE,Y,,Water,"4""-WW-22003-A12A",CRANE,RS Series,,6,65,
HEV-2232,HCI 35%,CONTROL VALVE POSITION,,,HCI 35%,,,,,,,
HZC-2233,Water,CONTROL VALVE POSITION,,,Water,,,,,,,
PSV-2204B,P-2253B,PRESSURE SAFETY VALVE,Y,,P-2253B,"1-1/2""SV22008-PVDF",,,,,,
DSH-2002,MS1 TO LS1 DESUPERHEATER,DESUPERHEAT,Y,20-CTU,LP1 Steam,,,,,,,C
PT-1750,FUEL GAS FROM PTT,PRESSURE TRANSMITTER,Y,,FUEL GAS FROM PTT,"12""-FG-17009-B13A",Yokogawa,EJA430A,,46,65,A
FEV-1750,FUEL GAS FROM PTT,CONTROL VALVE POSITION,,,FUEL GAS FROM PTT,,CHEIL,,,,,
HV-2010,HS TO F-6952 FOR HD#4,BALL ON-OFF VALVE,Y,,HS TO F-6952 FOR HD#4,"14""-HS-20022-D11T-H",CHEIL,,,46.2,420,B
PSV-2008A,LP1 Steam,PRESSURE SAFETY VALVE,Y,,LP1 Steam,,Anderson Greenwood C,8 T 10 JOS-H-E-35-C,,5.5,350,C
AT-2007,,MAIN ANALYZER,Y,,Miduim Steam Condensate,"4"" MC2 20004-10-B12A-H",,,,,,B
HZO-2001,,OTHER INSTRUMENT,,,,,AEE,,,,,
HEV-2001,,CONTROL VALVE POSITION,,,,,AEE,,,,,
PG-2005C,SHP BFP C Discharge Pressure,PRESSURE GAUGE,N,,SHP BFP C Discharge Pressure,"8""-BFW20245-11-F11T-H",WIKA (KSB Supply),Type 233.50,,190,200,C
PG-2016C,SHP BFP C Suction Pressure,PRESSURE GAUGE,N,,SHP BFP C Suction Pressure,"10""BFW20249-10-B12A-H",WIKA (KSB Supply),Type 233.50,,21.4,200,C
PG-2008C,HP BFW C Discharge Pressure,PRESSURE GAUGE,N,,HP BFW C Discharge Pressure,"8""-BFW20246-10-F11T-H",WIKA (KSB Supply),Type 233.50,,95,200,C
PG-2008A,HP BFW A Discharge Pressure,PRESSURE GAUGE,N,,HP BFW A Discharge Pressure,"8""-BFW20240-10-F11T-H",WIKA (KSB Supply),Type 233.50,,95,200,C
PG-2004A,MP BFP A Suction Pressure,PRESSURE GAUGE,N,,MP BFP A Suction Pressure,"16""-BFW20250-10-A12A-H",WIKA (SNM Supply),Type 232.50,,5.5,350,C
PG-2016B,SHP BFP B Suction Pressure,PRESSURE GAUGE,N,,SHP BFP B Suction Pressure,10*BFW20248-10-B12A-H,WIKA (SNM Supply),Type 232.50,,21.4,200,C
DSH-2001,HS TO MS1 DESUPERHEATER,DESUPERHEAT,Y,20-CTU,LP1 Steam,,,,,,,B
LT-701,T-700,HYDROSTATIC HEAD,N,,T-700,,Yokogawa,EJA 118W-EMSA 1FB-AA10-97DB/KU2/D4/A/M05/X1,,1,250,A
XV-116D,Cracked gas to transfer line,MOV,Y,,Cracked gas to transfer line,,Rotork,IQ,,,,A
FZC-1750,FUEL GAS FROM PTT,CONTROL VALVE POSITION,,,FUEL GAS FROM PTT,,CHEIL,,,,,
HZO-1750,FUEL GAS FROM PTT,OTHER INSTRUMENT,,,FUEL GAS FROM PTT,,CHEIL,,,,,
HZC-1750,FUEL GAS FROM PTT,CONTROL VALVE POSITION,,,FUEL GAS FROM PTT,,CHEIL,,,,,
FZO-1750,FUEL GAS FROM PTT,CONTROL VALVE POSITION,,,FUEL GAS FROM PTT,,CHEIL,,,,,
RO-2031,MS2 BY PASS FOR PV-2030,RO,,,MS2 BY PASS FOR PV-2030,"3/4""-HS-20026-D11T-H",Yokogawa,,,46.2,420,
LG-2001A,,LEVEL GAUGE,N,,,,AEE,,,540,35,C
PDG-2002,Deaerator Inlet Strainer DP,PRESSURE DIFFERENTIAL GAUGE,Y,,Deaerator Inlet Strainer DP,"10""-PSC20001-10-A14K-H",WIKA,732.31,,14,148,
PSV-2020,Air,PRESSURE SAFETY VALVE,Y,,Air,,Checkrite,,,5.5,350,C
PT-2006B,0,PRESSURE TRANSMITTER,,,,,,,,,,
PG-2017B,LP Condensate Pump B Discharge Pressure,PRESSURE GAUGE,N,,LP Condensate Pump B Discharge Pressure,"6""SSC 20016-19-A12A-P",WIKA,232.50.100,,8,180,C
LT-2002,LP Condensate Drum Level,GUIDED WAVE RADAR,Y,,LP Condensate Drum Level,,Magnetrol,Ecplipse 705-510A-C10 wiht 7MA-A440-190 probe,,3.5,130,A
HZC-2008,,CONTROL VALVE POSITION,,,,,AEE,,,,,
TG-2204,Suspect steam condensate inlet for condensate cooler,TEMPERATURE GAUGE,N,,Suspect steam condensate inlet for condensate cooler,"8""-SSC 22001-A12A",ASHCROFT,100-AM-070-E-376-0/100'C-NH,,9,100,C
PG-2105A,Treated water pump A dischage line,PRESSURE GAUGE,N,,Treated water pump A dischage line,"10""-TW21010-A11A",ASHCROFT,100-T5500-SL-04L-0/16 Kg/cm2-XGR-NH-SG,,16,37,C
RO-2101A,Min flow Returen Water Line(P-2300A),RO,,,Min flow Returen Water Line(P-2300A),"2-1/2""PTW 21104-A13X",Samil IND,SOP-OFH,,7.5,45,
RO-2101B,Min flow Returen Water Line(P-2300A),RO,,,Min flow Returen Water Line(P-2300A),"2-1/2""PTW 21105-A13X",Samil IND,SOP-OFH,,7.5,45,
PG-2108A,Belt wash pump A discharge line,PRESSURE GAUGE,N,,Belt wash pump A discharge line,"2 1/2"" TW 22010- A13X",ASHCROFT,100-T5500-SL-04L-0/16 Kg/cm2-XGR-NH-SG,,10,37,C
LG-2104,ALUM Storage Tank,LEVEL GAUGE,N,,ALUM Storage Tank,,Orion (Magnetrol),XAA3-1CH2-2A0/152.5,,3.3,65,C
HZC-2104,,CONTROL VALVE POSITION,,,,,,,,,,
PCV-2106,Z2163,PCV,Y,,Z2163,"3""TW21018-A11A",Samson,41-23,,10,65,
PG-2114B,Polymer dosing pump for dewatering B discharge line,PRESSURE GAUGE,N,,Polymer dosing pump for dewatering B discharge line,"1""POL 21010- A12K",ASHCROFT,100-T5500-SL-04L-0/6 Kg/cm2-XGR-NH-SG,,10,37,C
LT-2108,Polymer Dosing System (Package) Mixing tank B,HYDROSTATIC HEAD,Y,,Polymer Dosing System (Package) Mixing tank B,,Yokogawa,EJA118W-EMSA1FB-AA03-97DB/KU2/D4/A/M05/X1/Z,,37,65,
PCV-2101B,Sludge,PCV,Y,,Sludge,"1-1/2""POL21002-A12K",,,,,,
PSV-2105B,P-2164A,PRESSURE SAFETY VALVE,Y,,P-2164A,"1-1/2"" SV21014-A12K",,,,4,,
PSV-2104B,Plant air,PRESSURE SAFETY VALVE,Y,,Plant air,"1""SV21011-A12K",,,,,,
PG-2113C,Polymer dosing pump for clarifier C discharge line,PRESSURE GAUGE,N,,Polymer dosing pump for clarifier C discharge line,"1""POL 21008- A12K",ASHCROFT,100-T5500-SL-04L-0/6 Kg/cm2-XGR-NH-SG,,10,37,C
HV-2210C,Water,BALL ON-OFF VALVE,Y,,Water,"6""-PW-22049-CSRL",CRANE,RS Series,,8,65,
PDT-2202C,Rasin Tap No.3 from Cation Exchanger Tank No.3,PRESSURE DIFFERENTIAL TRANSMITTER,Y,,Rasin Tap No.3 from Cation Exchanger Tank No.3,"6""-PW-22046-CSRL",Yokogawa,EJA110A-EMS4B-97DB/KU2/D4/A/M11/X1,,8,65,
PG-2214A,Anion Exchanger C inlet line,PRESSURE GAUGE,N,,Anion Exchanger C inlet line,"6""-PW-22055-CSRL",ASHCROFT,100-Y5500-SL-04L-0/10 Kg/cm2-XGR-NH-SG,,6,37,C
HV-2216C,p,BALL ON-OFF VALVE,Y,,p,"6""-PW-22063-CSRL",CRANE,RS Series,,8,65,
HV-2217C,Water,BALL ON-OFF VALVE,Y,,Water,"1/2""-PW-22003-A14K",SAUNDERS,IDV / TypeA,,7,65,
HV-2203C,Water,BALL ON-OFF VALVE,Y,,Water,"6""-PW-22044-A13X",CRANE,RS Series,,7,65,
AT-2203C,Anion Exchanger (D-2203C)  Outlet Line,MAIN ANALYZER,Y,,Anion Exchanger (D-2203C)  Outlet Line,,Yokogawa,SC202S-N-E/U/SCT,,,,B
HV-2221C,Water,BALL ON-OFF VALVE,Y,,Water,"3""-WW-22006-A12A",CRANE,RS Series,,6,65,
PG-2216B,Mixing Blower B discharge line,PRESSURE GAUGE,N,,Mixing Blower B discharge line,"2""PA 22006- A13X",ASHCROFT,100-T5500-SL-04L-0/1 Kg/cm2-XGR-NH-SG,,1,37,C
PG-2218A,HCI pump A for MB discharge line,PRESSURE GAUGE,N,,HCI pump A for MB discharge line,"1""-HA 22002-PVDF",ASHCROFT,100-T5500-SL-04L-0/10 Kg/cm2-XGR-NH-SG,,10,37,C
PCV-2202,,PCV,Y,,,"1""-N22002-A12X",Anderson Greenwood C,BV111S2F2N,,,,
HZC-2236,Water,CONTROL VALVE POSITION,,,Water,,,,,,,
HZC-2232,HCI 35%,CONTROL VALVE POSITION,,,HCI 35%,,,,,,,
PCV-2105,Plant air,PCV,Y,,Plant air,"2-1/2""-PA-21001-A13X",Norgren,B68E-BAKUA##1RLG,,11,65,
PG-2103A,Intemediate water pump A discharge line,PRESSURE GAUGE,N,,Intemediate water pump A discharge line,"14""-TW-21007-A11A",ASHCROFT,100-T5500-SL-04L-0/6 Kg/cm2-XGR-NH-SG,,4,37,C
PT-2101E,Dynasand No.5,PRESSURE TRANSMITTER,Y,,Dynasand No.5,"16""RW21013-A11A",Yokogawa,EJA110A-EMS4B-97DB/KU2/D4/A/M11/X1,,0.1,,
FT-2105,Treat Water Feed to Demin Line,DIFF. PRESSURE,Y,,Treat Water Feed to Demin Line,"10""-TW-22005-A13X",Yokogawa,AXF250C-E1AL1S-CA11-21B/KF2/M01/SCT/A/X1/T01/Z,,,,
PG-2107B,Treated water feed DW pump B discharge line,PRESSURE GAUGE,N,,Treated water feed DW pump B discharge line,"10""TW 22006- A13X",ASHCROFT,100-Y5500-SL-04L-0/10 Kg/cm2-XGR-NH-SG,,6,37,C
FT-2106,P-2106 A/B Recovery Pump Discharge,DIFF. PRESSURE,,,P-2106 A/B Recovery Pump Discharge,"8""REW-21001-A11A",Endress+Houser,50W4F-HL0A4BA0BDAA+DK5GD-4FAHL,,,,
PSV-2103C,P-2162A/B/C,PRESSURE SAFETY VALVE,Y,,P-2162A/B/C,"1/2""SV21001-CPVC",,,,,,
HV-2107,Polymer,BALL ON-OFF VALVE,Y,,Polymer,"4""-POL-21004-A12K",CRANE,RS Series,,0.5,65,
PSV-2104C,Plant air,PRESSURE SAFETY VALVE,Y,,Plant air,"1""SV21010-A12K",,,,,,
LV-2201B,,BUTTERFLY CONTROL VALVE,Y,,,"6""-PW21029-CSRL",Samson,14B,,8,65,
HV-2231B,HCI 4.7%,BALL ON-OFF VALVE,Y,,HCI 4.7%,"2""-PW-22082-CSRL",SAUNDERS,IDV / TypeA,,,,
PG-2206A,A/C Filter B inlet line,PRESSURE GAUGE,N,,A/C Filter B inlet line,"6""-TW-22026-A13X",ASHCROFT,100-T5500-SL-04L-0/10 Kg/cm2-XGR-NH-SG,,6,37,C
PG-2209B,Anion Exchanger B outlet line,PRESSURE GAUGE,N,,Anion Exchanger B outlet line,"6""-PW-22038-CSRL",ASHCROFT,100-Y5500-SL-04L-0/10 Kg/cm2-XGR-NH-SG,,6,37,C
PG-2110A,NaOCl dosing pump A discharge line,PRESSURE GAUGE,N,,NaOCl dosing pump A discharge line,"1/2"" NaOCL 21003-CPVC",ASHCROFT,100-T5500-SL-04L-0/10 Kg/cm2-XGR-NH-SG,,10,37,C
PG-2110C,NaOCl dosing pump C discharge line,PRESSURE GAUGE,N,,NaOCl dosing pump C discharge line,"1/2"" NaOCL 21003-CPVC",ASHCROFT,100-T5500-SL-04L-0/10 Kg/cm2-XGR-NH-SG,,2,37,C
PG-2112B,Chemical sump pump A,PRESSURE GAUGE,N,,Chemical sump pump A,,ASHCROFT,100-Y5500-SL-04L-0/10 Kg/cm2-XGR-NH-SG,,10,37,C
HEV-2104,,CONTROL VALVE POSITION,,,,,,,,,,
HZO-2107,,OTHER INSTRUMENT,,,,,,,,,,
HV-2203B,Water,BALL ON-OFF VALVE,Y,,Water,"6""-PW-22027-A13X",CRANE,RS Series,,7,65,
AT-2202B,Anion Exc.(D-2203B)Outlet Line,MAIN ANALYZER,Y,,Anion Exc.(D-2203B)Outlet Line,,,,,,,B
AT-2203B,Anion Exchanger (D-2203B) Outlet Line,MAIN ANALYZER,Y,,Anion Exchanger (D-2203B) Outlet Line,,Yokogawa,SC202S-N-E/U/SCT,,,,B
HV-2204A,Water,BALL ON-OFF VALVE,Y,,Water,"6""-WW-22001-A12A",CRANE,RS Series,,8,65,
HV-2215A,Water,BALL ON-OFF VALVE,Y,,Water,"6""-PW-22021-CSRL",CRANE,RS Series,,6,65,
HV-2201A,Water,BALL ON-OFF VALVE,Y,,Water,"6""-TW-22009-A13X",CRANE,RS Series,,8,65,
PDT-2202A,Rasin Tap No.1 from Cation  Exchanger Tank No.1,PRESSURE DIFFERENTIAL TRANSMITTER,Y,,Rasin Tap No.1 from Cation  Exchanger Tank No.1,"6""-PW-22014-CSRL",Yokogawa,EJA110A-EMS4B-97DB/KU2/D4/A/M11/X1,,8,65,
HV-2226A,Water,BALL ON-OFF VALVE,Y,,Water,"1-1/2""-PA-22001-A13X",SAUNDERS,IDV / TypeA,,6,65,
HV-2227C,Water,BALL ON-OFF VALVE,Y,,Water,"1/2""-PW-22007-A14K",SAUNDERS,IDV / TypeA,,7,65,
HEV-2234,HCI 35%,CONTROL VALVE POSITION,,,HCI 35%,,,,,,,
HEV-2233,Water,CONTROL VALVE POSITION,,,Water,,,,,,,
FI-2207,Water,ROTAMETER,,,Water,"2""PW22072-CSRL",Tokyo Keiso,AM-1401,,6,65,C
TV-2201,Regeneration discharge Line,GLOBE CONTROL VALVE,Y,,Regeneration discharge Line,"4""LS22003-A14T",Samson,3241-7,,7,300,C
HV-2251,Water,BALL ON-OFF VALVE,Y,,Water,"4""-WW-22016-A14K",CRANE,RS Series,,7,65,
PG-2232B,Cond. MB A outlet line,PRESSURE GAUGE,N,,Cond. MB A outlet line,"6""SSC 22005-CSRL",ASHCROFT,100-T5500-SL-04L-0/6 Kg/cm2-XGR-NH-SG,,6,37,C
HV-2256B,Water,BALL ON-OFF VALVE,Y,,Water,"8""-SSC 22009-A12A",CRANE,RS Series,,9,80,
PG-2233A,Cond. MB B inlet line,PRESSURE GAUGE,N,,Cond. MB B inlet line,"10""PSC 22006- CSRL",ASHCROFT,100-T5500-SL-04L-0/6 Kg/cm2-XGR-NH-SG,,6,37,C
PG-2201,M.P STEAM HEADER,PRESSURE GAUGE,,,M.P STEAM HEADER,"16""MS2 20050-B12T-H",WIKA,232.30.100,,16,350,
FV-2206,Polished Condensate,GLOBE CONTROL VALVE,,,,,,,,11.7,100,
FT-2202,DW Pump P-2200 Min Flow,DIFF. PRESSURE,,,DW Pump P-2200 Min Flow,"10""DW22003-12-A14K",Yokogawa,EJA110A-EMS4B-97DB/KU2/D4/A/M11/X1/C3,,13.5,65,
PG-2235,Polished Condensate tank nitrogen feedline,PRESSURE GAUGE,N,,Polished Condensate tank nitrogen feedline,,ASHCROFT,160-N5500-S-04-L-(-30/100 mmH2O)-AN-IP65-HP-NH-RB-SG,,75,37,C
RO-2201A,Min flow Return Water Line(P-2212A),RO,,,Min flow Return Water Line(P-2212A),"2""PSC22037-A14K",Samil IND,SOP-OFH,,6,80,
PG-2038B,Scale Inhibitor Pump A Discharge Pressure,PRESSURE GAUGE,N,,Scale Inhibitor Pump A Discharge Pressure,"3/4""-PH20552-11-F11K",WIKA,Type 232.30,,233,65,C
AT-2004,,MAIN ANALYZER,Y,,,,,,,,,B
AT-2103,Filtered Water Feed Line,MAIN ANALYZER,Y,,Filtered Water Feed Line,"24""-TW-21008-A11A",,,,,,A
LT-2101,Treated Water Tank,RADAR,Y,,Treated Water Tank,,Endress+Houser,,,37,65,
HEV-2102B,Polymer,CONTROL VALVE POSITION,,,Polymer,,,,,,,
PT-2101B,Dynasand No.2,PRESSURE TRANSMITTER,Y,,Dynasand No.2,"16""RW21015-A11A",Yokogawa,EJA110A-EMS4B-97DB/KU2/D4/A/M11/X1,,0.1,,
HEV-2102C,,CONTROL VALVE POSITION,,,,,,,,,,
PG-2103F,Intermediate water pump C discharge line,PRESSURE GAUGE,N,,Intermediate water pump C discharge line,"20""TW 21004 A11A",ASHCROFT,100-T5500-SL-04L-1/1 Kg/cm2-XGV-NH-SG,,0.3,37,C
PG-2105B,Treated water pump A discharge line,PRESSURE GAUGE,N,,Treated water pump A discharge line,"10""-TW21010-A11A",ASHCROFT,100-T5500-SL-04L-0/16 Kg/cm2-XGR-NH-SG,,16,37,C
