Tag Name,PSM Critical,Unit,Line,Class,Fluid State,Paint Code,P&ID Number,Fluid,Design Pressure (kg/cm2g),Design Temperatur(C) ,Pipe Size (inch) ,Operating Pressure (kg/cm2g) ,Operating Temperature(C),C Insulation Thickness (mm) 
"8""SSC 20016-15-A12A-P",,,,150#,3.5,,20-2000D,SSC,3.5,130,"8""",0,100,
"3/4""HC 20564-20-D11T-P",,,,150#,8,,20-2000E,CW,8,75,"3/4""",4.7,32,
"3/4""MC2 20214-41-B12T-P",,,,300#,21,,20-2000E,MC2,21,350,"3/4""",13,282,
"1-1/2""SA 20589-16-A11A",,,,150#,11,,20-2000G,SA,11,65,"1-1/2""",0.5,36,
"3/4""D 20590-27-A11A-P",,,,150#,7,,20-2000G,D,7,300,"3/4""",4,151,
"1-1/2""SA 20589-17-A11A",,,,150#,11,,20-2000G,SA,11,65,"1-1/2""",0.5,36,
"3/4""LC1 20581-22-A14T-P",,,,150#,7,,20-2000H,LC1,7,300,"3/4""",4,200,
"3/4""LC1 20590-21-A14T-P",,,,150#,7,,20-2000H,LC1,7,300,"3/4""",4,200,
"1""RCW 24008-20-A11A",,,,150#,8,,20-2000K,RCW,8,75,"1""",3.7,42,
"1""LN 20297-11-A12X",,,,150#,12,,20-2000L,LN,12,65,"1""",4,36,
"3/4""LS1 24005-A14T-H",,,,A14T,,,"20-2000B
20-2400B
20-2400D",LS1,,,"3/4""",,,
"4""SV 20205-21-A12A-P",,,,150#,7,,20-2000F,SV,7,350,"4""",2,300,
"16""D 20253-10-A12A-P",,,,150#,8,,20-2000C,D,8,180,"16""",4,147,
"6""SSC 20016-22-A12A-P",,,,150#,9,,20-2000D,SSC,9,180,"6""",6.5,100,
"12""RCW 22001-A11A",,,,A11A,,,20-2400A,RCW,,,"12""",,,
"8""SSC 20016-13-A12A-P",,,,150#,3.5,,20-2000D,SSC,3.5,130,"8""",0,100,
"3/4""SSC 20016-10-A12A-P",,,,150#,3.5,,20-2000D,SSC,3.5,130,"3/4""",0,100,
"3/4""D 20016-17-A12A",,,,150#,9,,20-2000D,D,9,180,"3/4""",6,100,
"3/4""MC2 20214-21-B12T-P",,,,300#,21,,20-2000E,MC2,21,350,"3/4""",13,282,
"3/4""HC 20564-23-D11T-P",,,,600#,46,,20-2000E,HC,46,420,"3/4""",41.8,400,
"3/4""RCW 24016-11-A11A",,,,150#,8,,20-2000E,RCW,8,75,"3/4""",3.7,42,
"3/4""MC2 20214-40-B12T-P",,,,300#,21,,20-2000E,MC2,21,350,"3/4""",13,282,
"3/4""HC 20564-45-D11T-P",,,,600#,46,,20-2000E,HC,46,420,"3/4""",41.8,400,
"12""RCW 22002-A11A",,,,A11A,,,"20-2000D
20-2400A",RCW,,,"12""",,,
"3/4""RCW 24004-11-A11A",,,,150#,8,,20-2000D,RCW,8,75,"3/4""",4,,
"8""SSC 22002-A12A",,,,A12A,,,20CT4011-02200F,SSC,,,"8""",,8,
"6""SV 20215-21-A12A-P",,,,150#,7,,20-2000E,SV,7,350,"6""",2,300,
"3/4""RCW 24013-11-A11A",,,,300#,21,,20-2000E,MS2,21,350,"1""",13,282,40
"1-1/2""LC1 20219-41-A11A-P",,,,150#,7,,20-2000E,LC1,7,300,"1-1/2""",4,200,
"3""CW 24013-10-A11A",,,,150#,8,,20-2000E,CW,8,75,"3""",4.7,32,
"3""RCW 24014-20-A11A",,,,150#,8,,20-2000E,RCW,8,75,"3""",3.7,42,
"4""D 20590-20-A11A-P",,,,150#,3.5,,20-2000G,D,3.5,300,"4""",1.5,100,
"2""D 20500-10-A11A-P",,,,150#,7,,20-2000G,D,7,300,"2""",4,200,
"1/2""HS 20587-10-D12T-P",,,,600#,46,,20-2000G,HS,46,420,"1/2""",41.8,400,
"3/4""V 25016-21-A11A",,,,150#,5.5,,20-2000I,V,5.5,90,"3/4""",3.2,36,
"3/4""OSC 20214-11-A14K",,,,150#,10,,20-2000J,OSC,10,65,"3/4""",6,36,
"3/4""PH 20583-15-A14K",,,,150#,5,,20-2000J,PH,5,65,"3/4""",0.5,36,
"4""BU 17001-B13A",,,,B13A,,,20-1700A,BU,21.0 kgf/cm^2,65C,"4""",18kgf/cm^2,40 C,
"3""BU 17003-B13A",,,,B13A,,,20-1700A,BU,,,"3""",,,
"4""E 17004-B13A",,,,B13A,,,20-1700A,E,21.0 kgf/cm^2,65C,"4""",18kgf/cm^2,40 C,
"3""WG 17001-A13A",,,,A13A,L,,22-3400,WG,17,65,3,6,40,
"6""BZ 17001-A51A",,,,A51A,,,20-1700A,BZ,21.0 kgf/cm^2,65C,"6""",18kgf/cm^2,40 C,
"6""HL 15008-B51A",,,,B51A,,,20-1700A,HL,21.0 kgf/cm^2,65C,"6""",18kgf/cm^2,40 C,
"6""PR 17001-B13A",,,,B13A,,,20-1700A,PR,21.0 kgf/cm^2,65C,"6""",18kgf/cm^2,40 C,
"6""HL 17002-A51A",,,,A51A,Liquid,,29RE4011-01500A/01700A,Hydrocarbon Liquid,,,"6""",0-12,15-40,-
"2""WG 17002-A13A",,,,A13A,,,"20-1700A
20-2000C",WG,,,"2""",,,
"4""C4 A14098-A13A",,,,A13A,,,20-1700A,C4,,,"4""",,,
"8""TSC 30001-A12A-P",,,,A12A,,,"20-2000A
20-2400B",TSC,,,"8""",,,
"18""HS 20005-D11T-H",,,,D11T,,,20-2000B,HS,46.2,420,"18""",4,200,
"10""HS 20029-D11T-H",,,,D11T,,,20-2000B,HS,46.2,420,"10""",4,200,
"3/4""D 20236-11-A12A-P",,,,300#,24,,20-2000C,BFW,24,200,"1/2""",18.2,147,40
"8""MS1 22098-20-B12T-H",,,,B12T,,,20-2200G,MS1,21,350,"8""",18.3,320,80
"1-1/2""LS1 24002-A14T-H",,,,A14T,,,"20-2000B
20-2400B
20-2400D",LS1,,,"1-1/2""",,,
"2""WG 32001-10-A13A",,,,150#,14.2,,20-2000C,WG,14.2,70,"2""",3.5,40,
"2""V 20047-81-A12A-P",,,,150#,8,,20-2000C,SV,8,180,"1""",4,147,
"6""SSC 20016-19-A12A-P",,,,150#,9,,20-2000D,SSC,9,180,"6""",6.5,100,
"10""RCW 24004-10-A11A",,,,150#,8,,20-2000D,RCW,8,75,"10""",4,42,
"8""SSC 20019-11-A12A-P",,,,150#,9,,20-2000D,SSC,9,130,"8""",4.2,60,
"3/4""HC 20565-20-D11T-P",,,,600#,46,,20-2000E,HC,46,420,"3/4""",41.8,400,
"3/4""MC1 20215-24-B12T-P",,,,300#,21,,20-2000E,MC1,21,350,"3/4""",18.3,320,
"3/4""MC1 20215-31-B12T-P",,,,300#,21,,20-2000E,MC1,21,350,"3/4""",18.3,320,
"3/4""MC2 20214-20-B12T-P",,,,300#,21,,20-2000E,MC1,21,350,"3/4""",18.3,320,
"1-1/2""LC1 20213-23-A11A-P",,,,600#,46,,20-2000E,HS,46,420,"1""",41.8,400,50
"3/4""RCW 24016-41-A11A",,,,150#,8,,20-2000E,RCW,8,75,"3/4""",3.7,42,
"10""SV 20557-22-A12A",,,,150#,7,,20-2000F,SV,7,350,"10""",2,300,
"20""V 20505-10-A11A-P",,,,150#,3.5,,20-2000G,V,3.5,300,"20""",1.5,100,
"2""D 20500-12-A11A-P",,,,150#,7,,20-2000G,D,7,300,"2""",4,200,
"3/4""D 20590-11-A11A-P",,,,150#,7,,20-2000G,D,7,300,"3/4""",4,151,
"3/4""LC1 20590-22-A14T-P",,,,150#,7,,20-2000H,LC1,7,300,"3/4""",4,200,
"3/4""PH 20583-10-A14K",,,,150#,5,,20-2000J,PH,5,65,"3/4""",0.5,36,
"3/4""AM 20213-12-A14K",,,,150#,10,,20-2000J,AM,10,65,"3/4""",6,36,
"3/4""PH 20582-11-A14K",,,,150#,233,,20-2000J,PH,233,65,"3/4""",166,36,
"1""IA 20269-10-A13X",,,,150#,11,,20-2000M,IA,11,65,"1""",7,36,
"1-1/2""IA 20227-10-A13X",,,,150#,11,,20-2000M,IA,11,65,"1-1/2""",7,36,
"6""PTW 21008-A13X-H",,,,A13X,,,20-2100A,PTW,,,"6""",,,
"3""TW 21031-A11A",,,,A11A,,,"20-2100A
20-2900",TW,,,"3""",,,
"3""PTW 21018-A13X-H",,,,A13X,,,20-2100A,PTW,,,"3""",,,
"3""PTW 21012-A13X-H",,,,A13X,,,20-2100A,PTW,,,"3""",,,
"12""CW 22001-A11A",,,,A11A,,,"20-2000D
20-2400A",CW,,,"12""",,,
"6""SV 20215-35-A12A-P",,,,150#,7,,20-2000E,SV,7,350,"6""",2,300,
"3/4""RCW 24014-11-A11A",,,,150#,8,,20-2000E,RCW,8,75,"3/4""",3.7,42,
"3/4""HC 20564-42-D11T-P",,,,600#,46,,20-2000E,HC,46,420,"3/4""",41.8,400,
"1""SV 24013-12-A12A",,,,150#,8,,20-2000E,SV,8,75,"1""",3.7,42,
"1-1/2""SA 20589-18-A11A",,,,150#,11,,20-2000G,SA,11,65,"1-1/2""",0.5,36,
