Tag Name,Tag Description,Tag Type,Unit,ABC Class,PSM Critical,Service,Type,Design Temperature (C) ,Design Pressure (kg/cm2g)
ZZ-2050A,START UP VENT SILENCER,SILENCER,20-CTU,C,,HP STEAM START-UP VENT SILENCER,Vertical,,420
ZZ-2050C,START UP VENT SILENCER,SILENCER,20-CTU,C,,HP STEAM START-UP VENT SILENCER,Vertical,,420
P-605A,"CONDENSATE PUMP FOR E-605A,B",PUMP,22-ORU,C,,"Condensate Pump for E-605A,B",Centrifugal,,
P-605B,"CONDENSATE PUMP FOR E-605A,B",PUMP,22-ORU,C,,"Condensate Pump for E-605A,B",Centrifugal,,
P-640B,C3 TOWER NO. 1 REFLUX PUMP,PUMP,22-ORU,B,,C3 Tower No. 1 Reflux Pump,Centrifugal,,
P-641B,C3 TOWER NO. 2 REFLUX PUMP,PUMP,22-ORU,B,,C3 Tower No. 2 Reflux Pump,Centrifugal,,
P-650A,C3 TOWER NO. 3 REFLUX PUMP,PUMP,22-ORU,A,,,,,
P-650B,C3 TOWER NO. 1 REFLUX PUMP,PUMP,22-ORU,A,,,,,
Z-868,MEA INJECTION SYSTEM,MISCELLANEOUS ITEM,24-ARU,C,,MEA Injection System,,,
P-1210C,HP ETHYLENE EXPORT PUMP,PUMP,29-TFU,A,,HP Etyene pump,CENTRIFUGAL (Vertca),,
PT-2020B,TURBINE FOR P-2020B,TURBINE,20-CTU,B,,,,,
P-2023B,PH CONTROL AGENT PUMP FOR BFW,PUMP,20-CTU,B,,PH CONTROL AGENT PUMP FOR BFW,Metering,,
P-2052B,SCALE INHIBOTOR CONTROL PUMP FOR BOILER,PUMP,20-CTU,B,,SCALE INHIBITOR PUMP FOR BOILER,Metering,,
P-2051A,SCALE INHIBOTOR CONTROL PUMP FOR FURNACE,PUMP,20-CTU,B,,SCALE INHIBITOR PUMP FOR FURNACE,Metering,,
P-2103A,BELT WASH PUMP,PUMP,20-CTU,B,,,,,
P-2105A,SLUDGE FEED PUMP,PUMP,20-CTU,B,,,,,
C-2101A,AIR COMPRESSOR,AIR COMPRESSOR,20-CTU,B,,,,,
P-2400A,COOLING WATER PUMP,PUMP,20-CTU,B,,,,,
P-3080B,C POLYMER PUMP,PUMP,20-CTU,B,,,,,
C-3200A,SPENT CAUSTIC OXIDATION AIR COMPRESSOR,AIR COMPRESSOR,22-ORU,B,,,,,
P-4003D,DIESEL ENGINE FIRE WATER PUMP,PUMP,20-CTU,,,,,,
SK-2050B,BOILER STACK,BOILER STACK,20-CTU,A,,BOILER STACK,,,275
C-2051B,GAS RECIRCULATION FAN,FAN,20-CTU,B,,GAS RECIRCULATION FAN,Centrifugal,,218
E-756,DEISOBUTENIZER BOTTOMS COOLER,HEAT EXCHANGER,23-OCU,,,"Deisobutenizer 
Bottoms Cooler",H-AEM,,
E-865B,EDC SIDE REBOILER,HEAT EXCHANGER,24-ARU,A,,,,,
E-875A,SRC REBOILER,HEAT EXCHANGER,24-ARU,A,,SRC Reboiler,,,
PIT-2402,SIDE STREAM FILTER BACKWASH WASTE WATER PIT,PIT AND BASIN,20-CTU,C,,,,,
F-2400B,CW SIDE STREAM FILTER,FILTER,20-CTU,C,,,,,
TK-2413,SCALE INHIBITOR TYPE 2TANK,TANK,20-CTU,C,,,,,
E-2401,CW PUMP TURBINE SURFACE CONDENSER,HEAT EXCHANGER,20-CTU,A,,,,,
T-2400A,COOLING TOWER,COOLING TOWER,20-CTU,C,,,,,
T-2400B,COOLING TOWER,COOLING TOWER,20-CTU,C,,,,,
T-2400F,COOLING TOWER,COOLING TOWER,20-CTU,C,,,,,
E-2201,REGENT WATER HEAT EXCHANGER,HEAT EXCHANGER,20-CTU,C,,,,,
D-4003A,FUEL OIL TANK,DRUM,20-CTU,,,,,,
D-4003D,FUEL OIL TANK,DRUM,20-CTU,,,,,,
F-3010A,CPI SEPARATOR,SEPARATOR,20-CTU,B,,,,,
F-2101A,CLARIFIER,CLARIFIER,20-CTU,C,,,,,
D-2002,SCRUBBER FOR CHEMICAL INJECTION SYSTEM,DRUM,21-CFU,B,,,,,
TK-2022,OXYGEN SCAVENGER CONTAINER,TANK,20-CTU,B,,OXYGEN SCAVENGER DOSING TANK,Storage Tank,,65
TK-2051,SCALE INHIBITOR CONTAINER FOR FURNACE,TANK,20-CTU,C,,SCALE INHIBITOR DOSING TANK FOR FURNACE,Storage Tank,,65
