Tag Name,Tag Description,Tag Type,Unit,ABC Class,PSM Critical,Service,Type,Design Temperature (C) ,Design Pressure (kg/cm2g)
EJ-871,SRC EJECTORS,EJECTOR,24-ARU,,,SRC Ejectors,,,
P-1210A,HP ETHYLENE EXPORT PUMP,PUMP,29-TFU,A,,HP Etyene pump,CENTRIFUGAL (Vertca),,
P-1310A,PROPYLENE EXPORT PUMP,PUMP,29-TFU,A,,HP-Propylene pump,CENTRIFUGAL (Vertical),,
P-2106A,RECOVERY WATER PUMP,PUMP,20-CTU,B,,,,,
P-2201B,TREATED WATER FEED PUMP FOR DM,PUMP,20-CTU,B,,,,,
C-2101B,AIR COMPRESSOR,AIR COMPRESSOR,20-CTU,B,,,,,
P-2400F,COOLING WATER PUMP,PUMP,20-CTU,B,,,,,
P-3076B,C POLYMER PUMP,PUMP,20-CTU,C,,,,,
P-3202A,SPENT CAUSTIC FEED PUMP,PUMP,22-ORU,B,,Spent Caustic Feed Pump,Centrifugal,,
P-2020A,MP BOILER FEED WATER PUMP,PUMP,20-CTU,B,,MP BOILER FEED WATER PUMP,"Horizontal, Between Bearings",,
STR-2010C,STRAINER FOR P-2021 A/B/C,STRAINER,20-CTU,B,,,,,
CT-2050C,TURBINE FOR C-2050C,TURBINE,20-CTU,A,,TURBINE FOR C-2050A/B/C,Horizontal / Single stage,,
STR-2013B,Strainer for P-2051 A/B,STRAINER,20-CTU,,,,,,
STR-2015A,Strainer for P-2052 A/B,STRAINER,20-CTU,,,,,,
P-2161A,NaOCl DOSING PUMP,PUMP,20-CTU,B,,,,,
P-2163B,POLYMER DOSING PUMP I (To Clarifier),PUMP,20-CTU,B,,,,,
P-2202B,DEGASIFIER WATER PUMP,PUMP,20-CTU,B,,,,,
P-2202C,DEGASIFIER WATER PUMP,PUMP,20-CTU,B,,,,,
C-2201D,DEGASIFIER FAN,FAN,20-CTU,B,,,,,
P-2254A,HCl METERING PUMP FOR NWP,PUMP,20-CTU,B,,,,,
P-2271B,PH CONTROL AGENT PUMP FOR CONDENSTE POLISHER,PUMP,20-CTU,B,,,,,
P-2416A,NON-OXIDIZING BIOCIDE PUMP,PUMP,20-CTU,B,,,,,
P-2415A,CORROSION INHIBITOR TYPE 2 PUMP,PUMP,20-CTU,B,,,,,
PT-2400B,TURBINE FOR P-2400B,TURBINE,20-CTU,B,,,,,
STR-2410A,STRAINER FOR P-2410 A/B,STRAINER,20-CTU,C,,,,,
STR-2414A,STRAINER FOR P-2414 A/B,STRAINER,20-CTU,C,,,,,
P-2427A,SMBS DOSING PUMP,PUMP,20-CTU,B,,,,,
STR-3081A,STRAINER FOR P-3081A/B,STRAINER,20-CTU,B,,,,,
STR-1950,STRAINER FOR P-1950,STRAINER,20-CTU,B,,,,,
STR-4061,Fire Water to TK-1510 Strainer,STRAINER,20-CTU,B,,,,,
STR-4062,Fire Water to TK-1510 Strainer,STRAINER,20-CTU,,,,,,
STR-4011B,Fire Water Strainer,STRAINER,20-CTU,B,,,,,
STR-4042,Fire Water to TK-1410 Strainer,STRAINER,20-CTU,B,,,,,
ZZ-130A,DECOKE AIR SILENCER,SILENCER,21-CFU,A,,,,,
D-100C,SHP STEAM DRUM (LIQUID CRACKING FURNACE),DRUM,21-CFU,A,,,,,
ZZ-102C,GK6 EXPORT SHP STEAM RELIEF VALVE SILENCER (LIQUID CRACKING FURNACE),SILENCER,21-CFU,A,,,,,
P-006B,DMDS PRESULFIDING INJECTION PUMP,PUMP,21-CFU,C,,,,,
P-001B,CONDENSATE PUMP FOR E-001,PUMP,21-CFU,C,,Condensate Pump for E-001,Centrifugal,,
STR-003B,LC2 Strainer,STRAINER,21-CFU,,,,,,
E-210A,PYROLYSIS FUEL OIL COOLER,HEAT EXCHANGER,22-ORU,B,,Pyrolysis Fuel Oil Cooler,H-BES,,
STR-203B,PGO Strainer,STRAINER,22-ORU,,,,,,
STR-205B,PO Strainer,STRAINER,22-ORU,,,,,,
STR-208C,QW Strainer,STRAINER,22-ORU,,,,,,
E-221D,PRIMARY QUENCH WATER COOLER,HEAT EXCHANGER,22-ORU,C,,,,,
P-259A,CHEMICAL INJECTION PUMP,PUMP,22-ORU,,,Chemical Injection Pump,"Metering
(Air Driven)",,
P-301A,C.G. 1ST STAGE SUCTION DRUM PUMP,PUMP,22-ORU,B,,C.G. 1st Stage Suction Drum Pump,Centrifugal,,
STR-307,HV Strainer,STRAINER,22-ORU,,,,,,
STR-313A,HL Strainer,STRAINER,22-ORU,,,,,,
STR-316B,CS Strainer,STRAINER,22-ORU,,,,,,
STR-320,HL Strainer,STRAINER,22-ORU,,,,,,
STR-417,E Strainer,STRAINER,22-ORU,,,,,,
STR-411,HV Strainer,STRAINER,22-ORU,A,,,,,
STR-468,,STRAINER,22-ORU,A,,,,,
STR-525B,C2R Strainer,STRAINER,22-ORU,,,,,,
STR-600A,HL Strainer,STRAINER,22-ORU,B,,,,,
STR-603B,HL Strainer,STRAINER,22-ORU,B,,,,,
E-661D,PROPYLENE REFRIGERANT CONDENSER,HEAT EXCHANGER,22-ORU,,,Propylene Refrigerant Condenser,H-AEM,,
STR-702B,PG Strainer,STRAINER,22-ORU,C,,,,,
STR-3221B,SCS Strainer,STRAINER,22-ORU,,,,,,
STR-3405A,HL Strainer,STRAINER,22-ORU,,,,,,
P-800B,GHU-1 FEED PUMPS,PUMP,24-ARU,B,,GHU-1 Feed Pumps,C,,
E-721,SHU 1ST STAGE REACTOR OFF-GAS COOLER,HEAT EXCHANGER,23-OCU,,,"SHU 1st Stage Reactor 
Off-Gas Cooler",H-AEM,,
M-760A,OCU C4 FEED TREATERS,TREATER,23-OCU,,,OCU C4 Feed Treaters,,"70 &
320 @ Regen.","11.0 & 
7.7 @ Regen."
F-761B,OCU C2 FEED FILTERS,FILTER,23-OCU,,,OCU C2 Feed Filters,Cartridge,65,46.5
STR-7605,LC1 Strainer,STRAINER,23-OCU,,,,,,
P-810B,DEPENTANIZER REFLUX PUMPS,PUMP,24-ARU,B,,Depentanizer Reflux Pumps,C,,
P-810A,DEPENTANIZER REFLUX PUMPS,PUMP,24-ARU,B,,Depentanizer Reflux Pumps,C,,
P-846A,STABILIZER BOTTOM PUMPS,PUMP,24-ARU,B,,Stabilizer Bottom Pumps,C,,
P-881B,BENZENE PRODUCT PUMPS,PUMP,24-ARU,B,,,,,
P-1561A,MIXED XYLENE TRUCK LOADING PUMP,PUMP,29-TFU,B,,Mix. Xylene Export Pumps,CENTRIFUGAL(Horizontal),,
ZM-2163-2,POLYMER PREPARATION MIXER B,MIXER,20-CTU,B,,,,,
C-100E,INDUCED DRAFT FAN (LIQUID CRACKING FURNACE),FAN,21-CFU,A,,,,,
E-100G1,TRANSFERLINE EXCHANGER (LIQUID CRACKING FURNACES),HEAT EXCHANGER,21-CFU,A,,,,,
E-100G3,TRANSFERLINE EXCHANGER LIQUID CRACKING FURNACES),HEAT EXCHANGER,21-CFU,A,,,,,
P-1550A,TOLUENE EXPORT PUMP,PUMP,29-TFU,B,,Toluene Feed Pump,CENTRIFUGAL (Vertical),,
P-2202E,DEGASIFIER WATER PUMP,PUMP,20-CTU,B,,,,,
P-2400A-P1B,LUBE OIL FOR PT-2400A,PUMP LUBE OIL,20-CTU,C,,,,,
P-2400B-P1A,LUBE OIL FOR PT-2400B,PUMP LUBE OIL,20-CTU,B,,,,,
P-249B,QW/PW PH CONTROL PUMP,PUMP,22-ORU,,,,,,
P-760B-P1B,P-760B Lube oil pump,PUMP LUBE OIL,23-OCU,B,,,,,
P-960A,HYDROCARBON SUMP PUMPS,PUMP,24-ARU,B,,,,,
PE-4003C,FIRE PUMP DIESEL ENGINE,DIESEL ENGINE,20-CTU,,,,,,
STR-1431,STRAINER FOR P-1430,STRAINER,29-TFU,C,,,,,
STR-1551,STRAINER FOR P-1550A,STRAINER,29-TFU,C,,,,,
STR-1611B,CKB TO TRUCK LOADING FILTER,STRAINER,29-TFU,C,,,,,
STR-2018,BFW Desup MS-2 to LS-1 Strainer,STRAINER,20-CTU,,,,,,
STR-2061A,BFW Desup FD fan Strainer,STRAINER,20-CTU,,,,,,
STR-2100A,STRAINER FOR P-2100A/B,STRAINER,20-CTU,C,,,,,
STR-2210B,STRANER FOR P-2210A/B,STRAINER,20-CTU,C,,,,,
STR-2212B,STRAINER FOR P-2212A/B,STRAINER,20-CTU,C,,,,,
STR-2252B,STRAINER FOR P-2252A/B,STRAINER,20-CTU,C,,,,,
STR-2411B,STRAINER FOR P-2411 A/B,STRAINER,20-CTU,C,,,,,
STR-3082A,STRAINER FOR P-3082A/B,STRAINER,20-CTU,,,,,,
STR-309B,WG Strainer,STRAINER,22-ORU,,,,,,
STR-310B,WG Strainer,STRAINER,22-ORU,,,,,,
STR-40121,FW Strainer,STRAINER,20-CTU,,,,,,
STR-40171,FW Strainer,STRAINER,20-CTU,,,,,,
STR-4052,Fire Water Strainer,STRAINER,20-CTU,B,,,,,
STR-8802B,HC Strainer,STRAINER,24-ARU,,,,,,
STR-8900A,HC Strainer,STRAINER,24-ARU,,,,,,
STR-9608,Fire Water Strainer,STRAINER,24-ARU,,,,,,
V-2050A,HP STEAM S/U VENT SILENCER,SILENCER,20-CTU,,,,,,
ZZ-100B,GK6 DESUPERHEATER (LIQUID CRACKING FURNACE),DESUPERHEATER,21-CFU,A,,,,,
,,,,,,,,,
,,,,,,,,,
